"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60787","get a token with token id","Suite CardanoAPI","Sun Apr 20 08:28:24 GMT 2025","broken","Sun Apr 20 08:29:25 GMT 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","1","second test","Suite CardanoAPI","Sun Apr 20 08:29:24 GMT 2025","passed","Sun Apr 20 08:29:24 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60735","get stake with address","Suite CardanoAPI","Sun Apr 20 08:28:24 GMT 2025","broken","Sun Apr 20 08:29:24 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
