"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 24 08:29:45 GMT 2024","Thu Oct 24 08:30:46 GMT 2024","60898","Suite CardanoAPI","Test CardanoAPI","tests.tokens.TokenTest","tests.tokens.TokenTest","getToken","get a token with token id",""
"broken","Thu Oct 24 08:29:45 GMT 2024","Thu Oct 24 08:30:46 GMT 2024","60894","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","getStakeAddress","get stake with address",""
"passed","Thu Oct 24 08:30:46 GMT 2024","Thu Oct 24 08:30:46 GMT 2024","1","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","secondTest","second test",""
