"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 06 08:23:54 GMT 2024","Wed Mar 06 08:24:55 GMT 2024","60848","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","getStakeAddress","get stake with address",""
"passed","Wed Mar 06 08:24:55 GMT 2024","Wed Mar 06 08:24:55 GMT 2024","1","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","secondTest","second test",""
"broken","Wed Mar 06 08:23:54 GMT 2024","Wed Mar 06 08:24:55 GMT 2024","60848","Suite CardanoAPI","Test CardanoAPI","tests.tokens.TokenTest","tests.tokens.TokenTest","getToken","get a token with token id",""
