"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","second test","Suite CardanoAPI","Thu Mar 06 08:31:30 GMT 2025","passed","Thu Mar 06 08:31:30 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60812","get a token with token id","Suite CardanoAPI","Thu Mar 06 08:30:29 GMT 2025","broken","Thu Mar 06 08:31:30 GMT 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","60842","get stake with address","Suite CardanoAPI","Thu Mar 06 08:30:29 GMT 2025","broken","Thu Mar 06 08:31:30 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
