"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","second test","Suite CardanoAPI","Wed Oct 08 08:35:30 UTC 2025","passed","Wed Oct 08 08:35:30 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60831","get stake with address","Suite CardanoAPI","Wed Oct 08 08:34:29 UTC 2025","broken","Wed Oct 08 08:35:30 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","60814","get a token with token id","Suite CardanoAPI","Wed Oct 08 08:34:29 UTC 2025","broken","Wed Oct 08 08:35:30 UTC 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
