"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","second test","Suite CardanoAPI","Fri Mar 14 08:31:04 GMT 2025","passed","Fri Mar 14 08:31:04 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60802","get a token with token id","Suite CardanoAPI","Fri Mar 14 08:30:03 GMT 2025","broken","Fri Mar 14 08:31:04 GMT 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","60801","get stake with address","Suite CardanoAPI","Fri Mar 14 08:30:03 GMT 2025","broken","Fri Mar 14 08:31:04 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
