"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60684","get stake with address","Suite CardanoAPI","2026-07-15","broken","2026-07-15","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","60685","get a token with token id","Suite CardanoAPI","2026-07-15","broken","2026-07-15","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","1","second test","Suite CardanoAPI","2026-07-15","passed","2026-07-15","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
