"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60857","get a token with token id","Suite CardanoAPI","Sun Nov 02 08:29:19 UTC 2025","broken","Sun Nov 02 08:30:20 UTC 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","60840","get stake with address","Suite CardanoAPI","Sun Nov 02 08:29:19 UTC 2025","broken","Sun Nov 02 08:30:20 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","0","second test","Suite CardanoAPI","Sun Nov 02 08:30:20 UTC 2025","passed","Sun Nov 02 08:30:20 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
