"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60909","get stake with address","Suite CardanoAPI","Sat Jan 24 08:36:07 UTC 2026","broken","Sat Jan 24 08:37:07 UTC 2026","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","1","second test","Suite CardanoAPI","Sat Jan 24 08:37:07 UTC 2026","passed","Sat Jan 24 08:37:07 UTC 2026","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60893","get a token with token id","Suite CardanoAPI","Sat Jan 24 08:36:07 UTC 2026","broken","Sat Jan 24 08:37:07 UTC 2026","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
