"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60762","get a token with token id","Suite CardanoAPI","Sun Nov 17 08:26:56 GMT 2024","broken","Sun Nov 17 08:27:57 GMT 2024","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","60750","get stake with address","Suite CardanoAPI","Sun Nov 17 08:26:56 GMT 2024","broken","Sun Nov 17 08:27:57 GMT 2024","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","1","second test","Suite CardanoAPI","Sun Nov 17 08:27:57 GMT 2024","passed","Sun Nov 17 08:27:57 GMT 2024","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
