"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","second test","Suite CardanoAPI","Tue May 20 08:36:17 GMT 2025","passed","Tue May 20 08:36:17 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60826","get stake with address","Suite CardanoAPI","Tue May 20 08:35:17 GMT 2025","broken","Tue May 20 08:36:17 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","60826","get a token with token id","Suite CardanoAPI","Tue May 20 08:35:17 GMT 2025","broken","Tue May 20 08:36:17 GMT 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
