"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60821","get stake with address","Suite CardanoAPI","Fri May 22 11:12:03 UTC 2026","broken","Fri May 22 11:13:03 UTC 2026","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","60810","get a token with token id","Suite CardanoAPI","Fri May 22 11:12:03 UTC 2026","broken","Fri May 22 11:13:03 UTC 2026","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","0","second test","Suite CardanoAPI","Fri May 22 11:13:03 UTC 2026","passed","Fri May 22 11:13:03 UTC 2026","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
