"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60883","get stake with address","Suite CardanoAPI","Fri Feb 28 08:29:44 GMT 2025","broken","Fri Feb 28 08:30:45 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","60883","get a token with token id","Suite CardanoAPI","Fri Feb 28 08:29:44 GMT 2025","broken","Fri Feb 28 08:30:45 GMT 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","1","second test","Suite CardanoAPI","Fri Feb 28 08:30:45 GMT 2025","passed","Fri Feb 28 08:30:45 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
