"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 10 08:23:31 GMT 2023","Tue Oct 10 08:24:32 GMT 2023","60933","Suite CardanoAPI","Test CardanoAPI","tests.tokens.TokenTest","tests.tokens.TokenTest","getToken","get a token with token id",""
"broken","Tue Oct 10 08:23:31 GMT 2023","Tue Oct 10 08:24:32 GMT 2023","60930","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","getStakeAddress","get stake with address",""
"passed","Tue Oct 10 08:24:32 GMT 2023","Tue Oct 10 08:24:32 GMT 2023","2","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","secondTest","second test",""
