"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60808","get a token with token id","Suite CardanoAPI","Sun Dec 21 08:35:12 UTC 2025","broken","Sun Dec 21 08:36:13 UTC 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","0","second test","Suite CardanoAPI","Sun Dec 21 08:36:13 UTC 2025","passed","Sun Dec 21 08:36:13 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60800","get stake with address","Suite CardanoAPI","Sun Dec 21 08:35:12 UTC 2025","broken","Sun Dec 21 08:36:13 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
