"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60830","get stake with address","Suite CardanoAPI","Sun Oct 19 08:29:41 UTC 2025","broken","Sun Oct 19 08:30:42 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","1","second test","Suite CardanoAPI","Sun Oct 19 08:30:42 UTC 2025","passed","Sun Oct 19 08:30:42 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60828","get a token with token id","Suite CardanoAPI","Sun Oct 19 08:29:41 UTC 2025","broken","Sun Oct 19 08:30:42 UTC 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
