"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","second test","Suite CardanoAPI","Thu Aug 28 08:34:35 UTC 2025","passed","Thu Aug 28 08:34:35 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60841","get a token with token id","Suite CardanoAPI","Thu Aug 28 08:33:34 UTC 2025","broken","Thu Aug 28 08:34:35 UTC 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","60842","get stake with address","Suite CardanoAPI","Thu Aug 28 08:33:34 UTC 2025","broken","Thu Aug 28 08:34:35 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
