"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60862","get a token with token id","Suite CardanoAPI","Tue Jul 08 08:36:09 GMT 2025","broken","Tue Jul 08 08:37:10 GMT 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","1","second test","Suite CardanoAPI","Tue Jul 08 08:37:10 GMT 2025","passed","Tue Jul 08 08:37:10 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60891","get stake with address","Suite CardanoAPI","Tue Jul 08 08:36:09 GMT 2025","broken","Tue Jul 08 08:37:10 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
