"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60790","get stake with address","Suite CardanoAPI","Fri Aug 01 08:38:21 GMT 2025","broken","Fri Aug 01 08:39:22 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","60825","get a token with token id","Suite CardanoAPI","Fri Aug 01 08:38:21 GMT 2025","broken","Fri Aug 01 08:39:22 GMT 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","0","second test","Suite CardanoAPI","Fri Aug 01 08:39:22 GMT 2025","passed","Fri Aug 01 08:39:22 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
