"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 10 08:19:49 GMT 2024","Sat Feb 10 08:20:50 GMT 2024","60889","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","getStakeAddress","get stake with address",""
"broken","Sat Feb 10 08:19:49 GMT 2024","Sat Feb 10 08:20:50 GMT 2024","60889","Suite CardanoAPI","Test CardanoAPI","tests.tokens.TokenTest","tests.tokens.TokenTest","getToken","get a token with token id",""
"passed","Sat Feb 10 08:20:50 GMT 2024","Sat Feb 10 08:20:50 GMT 2024","1","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","secondTest","second test",""
