"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60793","get a token with token id","Suite CardanoAPI","Tue Apr 28 10:22:55 UTC 2026","broken","Tue Apr 28 10:23:56 UTC 2026","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","1","second test","Suite CardanoAPI","Tue Apr 28 10:23:56 UTC 2026","passed","Tue Apr 28 10:23:56 UTC 2026","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60793","get stake with address","Suite CardanoAPI","Tue Apr 28 10:22:55 UTC 2026","broken","Tue Apr 28 10:23:56 UTC 2026","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
