"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 31 08:22:13 GMT 2023","Sun Dec 31 08:23:14 GMT 2023","60851","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","getStakeAddress","get stake with address",""
"broken","Sun Dec 31 08:22:13 GMT 2023","Sun Dec 31 08:23:14 GMT 2023","60851","Suite CardanoAPI","Test CardanoAPI","tests.tokens.TokenTest","tests.tokens.TokenTest","getToken","get a token with token id",""
"passed","Sun Dec 31 08:23:14 GMT 2023","Sun Dec 31 08:23:14 GMT 2023","2","Suite CardanoAPI","Test CardanoAPI","tests.stake.StakeTests","tests.stake.StakeTests","secondTest","second test",""
