"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60862","get stake with address","Suite CardanoAPI","Thu Aug 21 08:34:18 UTC 2025","broken","Thu Aug 21 08:35:19 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","1","second test","Suite CardanoAPI","Thu Aug 21 08:35:19 UTC 2025","passed","Thu Aug 21 08:35:19 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60862","get a token with token id","Suite CardanoAPI","Thu Aug 21 08:34:18 UTC 2025","broken","Thu Aug 21 08:35:19 UTC 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
