"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","second test","Suite CardanoAPI","2026-07-22","passed","2026-07-22","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","61002","get stake with address","Suite CardanoAPI","2026-07-22","broken","2026-07-22","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","60972","get a token with token id","Suite CardanoAPI","2026-07-22","broken","2026-07-22","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
