"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","second test","Suite CardanoAPI","Thu Jul 24 08:38:58 GMT 2025","passed","Thu Jul 24 08:38:58 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60884","get a token with token id","Suite CardanoAPI","Thu Jul 24 08:37:57 GMT 2025","broken","Thu Jul 24 08:38:58 GMT 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","60887","get stake with address","Suite CardanoAPI","Thu Jul 24 08:37:57 GMT 2025","broken","Thu Jul 24 08:38:58 GMT 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
