"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60834","get a token with token id","Suite CardanoAPI","Sun Apr 12 09:00:08 UTC 2026","broken","Sun Apr 12 09:01:09 UTC 2026","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","60845","get stake with address","Suite CardanoAPI","Sun Apr 12 09:00:08 UTC 2026","broken","Sun Apr 12 09:01:09 UTC 2026","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","1","second test","Suite CardanoAPI","Sun Apr 12 09:01:09 UTC 2026","passed","Sun Apr 12 09:01:09 UTC 2026","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
