"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","second test","Suite CardanoAPI","Tue Aug 26 08:36:39 UTC 2025","passed","Tue Aug 26 08:36:39 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60843","get a token with token id","Suite CardanoAPI","Tue Aug 26 08:35:38 UTC 2025","broken","Tue Aug 26 08:36:39 UTC 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
"","60850","get stake with address","Suite CardanoAPI","Tue Aug 26 08:35:38 UTC 2025","broken","Tue Aug 26 08:36:39 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
