"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60878","get stake with address","Suite CardanoAPI","Thu Oct 16 08:35:59 UTC 2025","broken","Thu Oct 16 08:37:00 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","getStakeAddress"
"","1","second test","Suite CardanoAPI","Thu Oct 16 08:37:00 UTC 2025","passed","Thu Oct 16 08:37:00 UTC 2025","tests.stake.StakeTests","Test CardanoAPI","tests.stake.StakeTests","secondTest"
"","60884","get a token with token id","Suite CardanoAPI","Thu Oct 16 08:35:59 UTC 2025","broken","Thu Oct 16 08:37:00 UTC 2025","tests.tokens.TokenTest","Test CardanoAPI","tests.tokens.TokenTest","getToken"
